backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,mlp,100,10,570.156250000,236.695312500,233.214843750,100,5,1787866234.224226
docker,mlp,100,11,569.721875000,236.504101563,233.014843750,100,5,1787866385.043846
docker,mlp,100,12,569.804687500,236.459960938,232.960937500,100,5,1787866536.112319
docker,mlp,100,13,569.964843750,236.779101562,233.285156250,100,5,1787866687.121422
docker,mlp,100,14,570.019531250,236.227539062,232.730468750,100,5,1787866838.338202
docker,mlp,100,15,569.542968750,236.542187500,233.054687500,100,5,1787866988.101858
docker,mlp,100,16,569.593750000,236.409570312,232.917968750,100,5,1787867138.411130
docker,mlp,100,17,568.679687500,236.447656250,232.964843750,100,5,1787867288.370297
docker,mlp,100,18,569.617187500,236.434960937,232.941406250,100,5,1787867439.646204
docker,mlp,100,19,569.074218750,236.335742187,232.839843750,100,5,1787867590.129345
docker,mlp,100,20,570.125000000,236.510156250,233.015625000,100,5,1787867741.440855
docker,mlp,200,1,1138.660156250,469.023242187,465.492187500,100,5,1787868025.037831
docker,mlp,200,2,1137.714843750,468.560351562,465.023437500,100,5,1787868304.491144
docker,mlp,200,3,1138.597656250,469.317187500,465.781250000,100,5,1787868584.467389
docker,mlp,200,4,1139.746093750,469.294531250,465.757812500,100,5,1787868865.328356
docker,mlp,200,5,1137.824218750,468.751367188,465.214843750,100,5,1787869146.106832
docker,mlp,200,6,1137.324218750,469.257617187,465.718750000,100,5,1787869427.252566
docker,mlp,200,7,1139.316406250,469.430468750,465.886718750,100,5,1787869707.232109
docker,mlp,200,8,1138.835937500,468.389453125,464.851562500,100,5,1787869987.616630
docker,mlp,200,9,1139.312500000,469.034179688,465.503906250,100,5,1787870267.739481
docker,mlp,200,10,1138.285156250,469.047656250,465.515625000,100,5,1787870549.118537
docker,mlp,200,11,1137.320312500,467.873632812,464.335937500,100,5,1787870830.251150
docker,mlp,200,12,1139.785156250,469.050781250,465.519531250,100,5,1787871112.280937
docker,mlp,200,13,1140.453125000,469.708007812,466.171875000,100,5,1787871394.239703
docker,mlp,200,14,1137.019531250,467.970507812,464.433593750,100,5,1787871675.508824
docker,mlp,200,15,1138.527343750,468.970703125,465.425781250,100,5,1787871956.038915
docker,mlp,200,16,1138.359375000,469.174414062,465.636718750,100,5,1787872234.838746
docker,mlp,200,17,1140.699218750,470.136914063,466.597656250,100,5,1787872475.590595
docker,mlp,200,18,1140.140625000,470.287695312,466.750000000,100,5,1787872713.809306
docker,mlp,200,19,1140.882812500,470.521875000,466.984375000,100,5,1787872952.042042
docker,mlp,200,20,1139.722656250,470.604296875,467.070312500,100,5,1787873191.528026
