backend,model,physical_tenants,repetition,rss_mib,pss_mib,private_mib,warmup_requests_per_unit,memory_samples,timestamp_unix
docker,svm,100,10,571.050781250,236.622851562,233.121093750,100,5,1787842702.225392
docker,svm,100,11,571.117187500,236.319335938,232.820312500,100,5,1787842852.634344
docker,svm,100,12,571.437500000,236.539257813,233.031250000,100,5,1787843003.334155
docker,svm,100,13,571.269531250,236.424414063,232.921875000,100,5,1787843154.160609
docker,svm,100,14,571.257812500,236.324414063,232.820312500,100,5,1787843304.992382
docker,svm,100,15,571.210937500,236.631640625,233.125000000,100,5,1787843455.842715
docker,svm,100,16,570.890625000,236.459375000,232.957031250,100,5,1787843606.827453
docker,svm,100,17,571.179687500,236.496484375,232.996093750,100,5,1787843757.568145
docker,svm,100,18,570.480468750,236.711523438,233.214843750,100,5,1787843907.589516
docker,svm,100,19,570.390625000,236.153710937,232.648437500,100,5,1787844057.856429
docker,svm,100,20,570.792968750,236.492382813,232.988281250,100,5,1787844208.485468
docker,svm,200,1,1140.816406250,469.357617188,465.812500000,100,5,1787844493.885812
docker,svm,200,2,1141.250000000,468.857812500,465.312500000,100,5,1787844775.064718
docker,svm,200,3,1142.027343750,469.589843750,466.050781250,100,5,1787845056.823457
docker,svm,200,4,1141.906250000,469.395507812,465.855468750,100,5,1787845338.706382
docker,svm,200,5,1141.457031250,469.280664063,465.730468750,100,5,1787845619.351337
docker,svm,200,6,1141.140625000,469.296875000,465.753906250,100,5,1787845898.726623
docker,svm,200,7,1140.601562500,468.485156250,464.945312500,100,5,1787846179.567924
docker,svm,200,8,1140.382812500,468.777539063,465.230468750,100,5,1787846460.767602
docker,svm,200,9,1142.066406250,469.412109375,465.871093750,100,5,1787846742.484421
docker,svm,200,10,1140.566406250,469.200195312,465.656250000,100,5,1787847024.775595
docker,svm,200,11,1139.957031250,468.318359375,464.781250000,100,5,1787847306.199125
docker,svm,200,12,1140.628906250,469.210156250,465.667968750,100,5,1787847586.849900
docker,svm,200,13,1139.945312500,469.180664062,465.632812500,100,5,1787847867.671935
docker,svm,200,14,1140.386718750,467.816015625,464.277343750,100,5,1787848149.176782
docker,svm,200,15,1141.156250000,469.400390625,465.863281250,100,5,1787848431.171939
docker,svm,200,16,1140.535156250,468.855468750,465.324218750,100,5,1787848712.016979
docker,svm,200,17,1139.957031250,467.371484375,463.824218750,100,5,1787848991.199755
docker,svm,200,18,1142.421875000,469.238281250,465.695312500,100,5,1787849272.646198
docker,svm,200,19,1141.609375000,469.509179688,465.960937500,100,5,1787849553.404879
docker,svm,200,20,1140.863281250,468.029296875,464.484375000,100,5,1787849834.367685
