backend,pair,model_a,model_b,repetition,a_throughput_rps,a_p95_latency_ms,a_p99_latency_ms,a_error_rate,b_throughput_rps,b_p95_latency_ms,b_p99_latency_ms,b_error_rate,timestamp_unix
wasmtime,lr_svm,logistic_regression,svm,11,4931.3965819854575,6.622126850000001,8.07052978000001,0.0,4895.339306062053,6.61972715,6.88895513,0.0,1788121730.4536152
wasmtime,lr_svm,logistic_regression,svm,12,4382.906516143042,10.05449125,10.50569906,0.0,4355.05747139635,10.061364750000001,10.572935670000001,0.0,1788121733.1335096
wasmtime,lr_svm,logistic_regression,svm,13,4843.868009421493,6.613395400000001,6.873369790000001,0.0,4806.110288115993,6.58375245,6.87984109,0.0,1788121735.602666
wasmtime,lr_svm,logistic_regression,svm,14,3319.876629223349,10.14608585,10.469757980000002,0.0,3303.7200545522655,10.135445350000001,10.552409350000001,0.0,1788121738.6497533
wasmtime,lr_svm,logistic_regression,svm,15,4887.254092564031,6.63582275,6.85107121,0.0,4852.570088242789,6.622726050000001,6.87530274,0.0,1788121741.2076323
wasmtime,lr_svm,logistic_regression,svm,16,3864.940036284661,9.9629385,10.33394898,0.0,3843.3129687224755,9.957437500000001,10.39335209,0.0,1788121744.0350983
wasmtime,lr_svm,logistic_regression,svm,17,4875.377511641704,6.637703350000001,6.86481944,0.0,4840.888392139401,6.62518575,6.88388544,0.0,1788121746.598335
wasmtime,lr_svm,logistic_regression,svm,18,4971.664555925295,6.5908299,6.853925210000002,0.0,4935.727333447012,6.58319565,6.7699819,0.0,1788121749.1470897
wasmtime,lr_svm,logistic_regression,svm,19,4045.6063403805583,10.16614365,10.552208310000001,0.0,4046.1719505556534,10.1736821,10.525658510000001,0.0,1788121751.9233303
wasmtime,lr_svm,logistic_regression,svm,20,4959.478007914249,6.587472,8.29733316000001,0.0,4923.606746737706,6.57280685,6.92313790000001,0.0,1788121754.3689964
wasmtime,lr_svm,logistic_regression,svm,21,4084.333570689157,10.0765206,10.52718229,0.0,4059.6017025650403,10.09003,10.5159304,0.0,1788121757.135016
wasmtime,lr_svm,logistic_regression,svm,22,4963.596133241014,6.62138445,6.861199160000003,0.0,4926.897356918244,6.61986995,6.8467257,0.0,1788121759.6802192
wasmtime,lr_svm,logistic_regression,svm,23,4160.403417547186,10.03427495,10.45926881,0.0,4134.899813235194,10.03279535,10.4553582,0.0,1788121762.4233284
wasmtime,lr_svm,logistic_regression,svm,24,4824.883558597639,6.6465351,6.86629252,0.0,4785.953916725562,6.642975450000001,6.854530909999999,0.0,1788121765.0019684
