model,policy,concurrency,repetitions,p95_latency_ms,p99_latency_ms,throughput_rps,ci_target_met,selected_backend
decision_tree,random,48,60,8.709206925833334,16.399346365333503,5746.031469789663,False,docker
decision_tree,random,96,60,17.793142364166666,38.85322348800001,5618.673004485479,False,docker
decision_tree,random,192,20,37.7778846575,80.70855520800002,5281.038259396515,True,docker
decision_tree,best_static,24,56,3.849486991964286,4.189960056785715,8790.992269636574,True,wasmtime
decision_tree,best_static,48,60,5.418025048333334,7.816264558166675,9173.791401160008,False,wasmtime
decision_tree,best_static,96,60,10.75195918,35.36665677000001,8897.52856214213,False,wasmtime
decision_tree,best_static,192,57,22.1978360377193,58.39629934894738,8588.660178390437,True,wasmtime
kmeans,comet,24,30,3.5223272383333333,3.6836472263333335,9676.50818275362,True,wasmtime
kmeans,comet,48,20,5.854307917500009,7.108696771500007,9893.569291114694,True,wasmtime
kmeans,comet,96,20,9.820438285,34.824717959500006,9614.248036907557,True,wasmtime
kmeans,comet,192,60,20.928806005000002,56.909467679666676,9111.17315197123,False,wasmtime
kmeans,wasmtime_only,24,22,3.5214927340909092,3.620112116363637,9807.121125063179,True,wasmtime
kmeans,wasmtime_only,48,27,6.049438264814824,7.374962463333339,9760.738162144107,True,wasmtime
kmeans,wasmtime_only,96,20,9.78826755,34.594364007500005,9637.100744448033,True,wasmtime
kmeans,wasmtime_only,192,20,20.440611320000002,58.20152366700001,9244.096449143903,True,wasmtime
kmeans,docker_only,24,20,4.20551887,4.571910259000002,6102.585719555694,True,docker
kmeans,docker_only,48,20,8.4594901125,21.419090746500228,5809.519318696045,True,docker
kmeans,docker_only,96,20,17.33601796,39.297159583500026,5642.725461108643,True,docker
kmeans,docker_only,192,20,36.6089217875,78.30403155250008,5408.959665102677,True,docker
kmeans,random,24,20,4.1209816425,4.617716062500001,6076.6190759543115,True,docker
kmeans,random,48,60,8.135938879166668,15.371751965166801,6204.750252749656,False,docker
kmeans,random,96,60,16.9490964875,38.41673688933335,5870.513651646383,False,docker
kmeans,random,192,20,36.419640915,79.21652597550003,5491.997970445534,True,docker
kmeans,best_static,24,60,3.563100299166667,3.846217212666667,9121.228876669822,False,wasmtime
kmeans,best_static,48,26,5.945428025000008,7.153560326923081,9785.792481049642,True,wasmtime
kmeans,best_static,96,20,9.786537895,34.362246949500005,9648.727320205691,True,wasmtime
kmeans,best_static,192,60,21.16428189,57.54386153850001,9039.50262802591,False,wasmtime
random_forest,comet,24,46,3.821881358695652,4.054642875434783,9003.583456998645,True,wasmtime
random_forest,comet,48,20,5.31990905,7.680181237500008,9256.332068692383,True,wasmtime
random_forest,comet,96,20,10.4452376725,34.242994407500014,9058.254174469996,True,wasmtime
random_forest,comet,192,20,22.098277185,58.82825824950002,8613.325342236581,True,wasmtime
random_forest,wasmtime_only,24,21,3.8247114452380955,4.00861378904762,9120.06299092843,True,wasmtime
random_forest,wasmtime_only,48,60,5.417351396666667,7.806484327500004,9207.763039054327,False,wasmtime
random_forest,wasmtime_only,96,43,10.571793347674419,33.94787162255815,8996.248070123465,True,wasmtime
random_forest,wasmtime_only,192,20,21.875194115,57.30414795150001,8664.195487517507,True,wasmtime
random_forest,docker_only,24,20,4.497182945,4.865022640000003,5663.752718950569,True,docker
random_forest,docker_only,48,20,9.061550025,22.72108981200026,5422.8221639814665,True,docker
random_forest,docker_only,96,20,18.3911642125,39.01631003900002,5318.592714863613,True,docker
random_forest,docker_only,192,40,39.3480484925,82.17731314375007,5074.708095948634,True,docker
random_forest,random,24,60,4.331671260833334,4.932423148166671,5967.943232669799,False,docker
random_forest,random,48,60,8.689630539166666,16.649184786833466,5727.386853415623,False,docker
random_forest,random,96,20,18.00586931,38.744952841500016,5486.025794724785,True,docker
random_forest,random,192,20,38.733337552500004,80.88404075900004,5145.40266511952,True,docker
random_forest,best_static,24,60,3.8560329025000004,4.237548080333334,8573.619273031909,False,wasmtime
random_forest,best_static,48,20,5.312790655,7.746752922000003,9262.886490788818,True,wasmtime
