model,concurrency,baseline,comet_p95_ms,baseline_p95_ms,latency_improvement_pct,latency_ratio,comet_throughput_rps,baseline_throughput_rps,throughput_improvement_pct,throughput_ratio,comet_ci_target_met,baseline_ci_target_met,comet_backend,baseline_backend
decision_tree,24,random,3.8127701595238097,4.3303913566666665,11.953219801854063,0.8804678019814594,9135.113821158066,5922.410079552617,54.24656007353239,1.542465600735324,True,False,wasmtime,docker
decision_tree,24,best_static,3.8127701595238097,3.849486991964286,0.9538110537098016,0.990461889462902,9135.113821158066,8790.992269636574,3.9144790595489622,1.0391447905954896,True,True,wasmtime,wasmtime
decision_tree,48,wasmtime_only,5.409166052678572,5.44077407,0.5809470658910884,0.9941905293410891,9175.30803901829,9177.420275681683,-0.023015581720612292,0.9997698441827939,True,False,wasmtime,wasmtime
decision_tree,48,docker_only,5.409166052678572,9.0447429175,40.19546932381264,0.5980453067618736,9175.30803901829,5426.14825146539,69.09431172545642,1.6909431172545641,True,True,wasmtime,docker
decision_tree,48,random,5.409166052678572,8.709206925833334,37.89140505280852,0.6210859494719148,9175.30803901829,5746.031469789663,59.68078294138124,1.5968078294138124,True,False,wasmtime,docker
decision_tree,48,best_static,5.409166052678572,5.418025048333334,0.1635096843542166,0.9983649031564579,9175.30803901829,9173.791401160008,0.01653229065236765,1.0001653229065237,True,False,wasmtime,wasmtime
decision_tree,96,wasmtime_only,10.739560819166668,10.451653035,-2.754662666302988,1.02754662666303,8917.993827757567,9043.043839851238,-1.3828309837733521,0.9861716901622665,False,True,wasmtime,wasmtime
decision_tree,96,docker_only,10.739560819166668,18.415670175000002,41.68248715843073,0.5831751284156926,8917.993827757567,5301.41616381723,68.21908622499573,1.6821908622499575,False,True,wasmtime,docker
decision_tree,96,random,10.739560819166668,17.793142364166666,39.64213515879633,0.6035786484120367,8917.993827757567,5618.673004485479,58.72064134428513,1.5872064134428514,False,False,wasmtime,docker
decision_tree,96,best_static,10.739560819166668,10.75195918,0.11531257351120482,0.9988468742648879,8917.993827757567,8897.52856214213,0.2300106762513216,1.0023001067625132,False,False,wasmtime,wasmtime
