model,policy,concurrency,repetitions,ci_target_met,stop_reason,admission_rate_mean,correctness_rate_mean,successful_requests_total,request_errors_total,mean_latency_ms,p50_latency_ms,p95_latency_ms,p95_ci95_half_width_ms,p95_relative_ci,p99_latency_ms,throughput_rps,throughput_ci95_half_width_rps,throughput_relative_ci,mean_scheduler_decision_ns,selected_backend_mode,selected_backend_wasmtime_reps,selected_backend_docker_reps,backend_audit_status,raw_file
decision_tree,comet,96,60,False,max_repetitions,1.0,1.0,300000,0,10.514925171616667,10.235199025,10.739560819166668,0.3200320859375136,0.02979936436193546,34.775153736333344,8917.993827757567,154.38002500655284,0.01731107107587803,193.10248333333334,wasmtime,60,0,recorded,results/raw/evaluation/live_heldout/decision_tree__comet__c96.csv
decision_tree,comet,192,20,True,precision_target_met,1.0,1.0,100000,0,21.02748807667,20.1949361,21.9376247725,0.19595214990580112,0.008932240930268702,60.00070377250001,8633.134828445844,55.601842464341445,0.006440515938791496,192.33326,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/decision_tree__comet__c192.csv
decision_tree,wasmtime_only,24,29,True,precision_target_met,1.0,1.0,145000,0,2.5713604145103446,2.4718129137931033,3.772566001724138,0.08799804918322343,0.023325781217083164,3.9210319986206903,9269.463770892819,20.26469436008664,0.0021861776323804307,190.75528965517242,wasmtime,29,0,recorded,results/raw/evaluation/live_heldout/decision_tree__wasmtime_only__c24.csv
decision_tree,wasmtime_only,48,60,False,max_repetitions,1.0,1.0,300000,0,5.17547104604,4.959034908333334,5.44077407,0.1633369510032404,0.030020903074043728,7.861373529166671,9177.420275681683,81.84524638188441,0.008918110310231497,192.38990666666666,wasmtime,60,0,recorded,results/raw/evaluation/live_heldout/decision_tree__wasmtime_only__c48.csv
decision_tree,wasmtime_only,96,20,True,precision_target_met,1.0,1.0,100000,0,10.2915433079,9.954676,10.451653035,0.034066639229169735,0.003259449879850488,35.044912095000015,9043.043839851238,29.232627411565723,0.003232609277281422,187.2181,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/decision_tree__wasmtime_only__c96.csv
decision_tree,wasmtime_only,192,20,True,precision_target_met,1.0,1.0,100000,0,21.05496309452,20.255512175,21.8951719825,0.039380198931374656,0.001798579109716507,58.233162897500016,8639.457199528055,47.025529469105216,0.0054431115732217605,192.63230000000001,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/decision_tree__wasmtime_only__c192.csv
decision_tree,docker_only,24,20,True,precision_target_met,1.0,1.0,100000,0,4.21038805031,4.197843575,4.494279205,0.030469513033427837,0.006779621746581683,4.954443844000003,5670.039127364859,32.67952380203536,0.005763544671908307,299.31445,docker,0,20,recorded,results/raw/evaluation/live_heldout/decision_tree__docker_only__c24.csv
decision_tree,docker_only,48,20,True,precision_target_met,1.0,1.0,100000,0,8.76439003971,8.48789605,9.0447429175,0.0460931029165832,0.005096120844673328,22.594921826500343,5426.14825146539,30.58308471832062,0.005636242008327238,306.83869,docker,0,20,recorded,results/raw/evaluation/live_heldout/decision_tree__docker_only__c48.csv
decision_tree,docker_only,96,20,True,precision_target_met,1.0,1.0,100000,0,17.6818140234,17.238072475,18.415670175000002,0.11975543000827606,0.0065029091458669135,41.55040783250003,5301.41616381723,28.957231616144178,0.005462169111299087,307.45016,docker,0,20,recorded,results/raw/evaluation/live_heldout/decision_tree__docker_only__c96.csv
decision_tree,docker_only,192,20,True,precision_target_met,1.0,1.0,100000,0,36.15825964936,34.6572764,38.8606165125,0.24999813784916478,0.006433200506964416,84.30727594100006,5066.806783984557,32.115863973880664,0.006338482074231499,312.61591,docker,0,20,recorded,results/raw/evaluation/live_heldout/decision_tree__docker_only__c192.csv
decision_tree,random,24,60,False,max_repetitions,1.0,1.0,300000,0,4.071452762856667,4.042809841666666,4.3303913566666665,0.0710153390531938,0.016399288933519877,4.963243230500006,5922.410079552617,180.04908768663134,0.030401320622538242,288.1470233333333,docker,27,33,recorded,results/raw/evaluation/live_heldout/decision_tree__random__c24.csv
decision_tree,random,48,60,False,max_repetitions,1.0,1.0,300000,0,8.352737639373334,8.1925907,8.709206925833334,0.1472420194265381,0.01690647847507072,16.399346365333503,5746.031469789663,169.69557461927542,0.02953265667121159,293.43026333333336,docker,27,33,recorded,results/raw/evaluation/live_heldout/decision_tree__random__c48.csv
decision_tree,random,96,60,False,max_repetitions,1.0,1.0,300000,0,16.931876902083335,16.693126816666666,17.793142364166666,0.38287930959342115,0.02151836374695095,38.85322348800001,5618.673004485479,202.25455075863746,0.03599685381177625,295.18606,docker,27,33,recorded,results/raw/evaluation/live_heldout/decision_tree__random__c96.csv
decision_tree,random,192,20,True,precision_target_met,1.0,1.0,100000,0,34.89451672631,33.9650906,37.7778846575,0.6331591465795977,0.01676004763950957,80.70855520800002,5281.038259396515,116.6838156373189,0.02209486277243006,304.55556,docker,8,12,recorded,results/raw/evaluation/live_heldout/decision_tree__random__c192.csv
decision_tree,best_static,24,56,True,precision_target_met,1.0,1.0,280000,0,2.7376613260178573,2.6216238839285713,3.849486991964286,0.019456551512663105,0.005054323226257993,4.189960056785715,8790.992269636574,212.61538341149978,0.02418559553804379,202.8285892857143,wasmtime,56,0,recorded,results/raw/evaluation/live_heldout/decision_tree__best_static__c24.csv
decision_tree,best_static,48,60,False,max_repetitions,1.0,1.0,300000,0,5.180012562366667,4.974036741666667,5.418025048333334,0.1477590848980151,0.02727176112695677,7.816264558166675,9173.791401160008,91.79087481065221,0.010005773054644063,191.70231333333334,wasmtime,60,0,recorded,results/raw/evaluation/live_heldout/decision_tree__best_static__c48.csv
decision_tree,best_static,96,60,False,max_repetitions,1.0,1.0,300000,0,10.52646969012,10.248943808333333,10.75195918,0.3107969181004278,0.028906073106987725,35.36665677000001,8897.52856214213,147.13915617523728,0.016537081634252455,192.82418666666666,wasmtime,60,0,recorded,results/raw/evaluation/live_heldout/decision_tree__best_static__c96.csv
decision_tree,best_static,192,57,True,precision_target_met,1.0,1.0,285000,0,21.31265176477544,20.514019315789472,22.1978360377193,0.5418067671245043,0.024408089428350054,58.39629934894738,8588.660178390437,142.54523210088945,0.016596911408783114,196.80928070175437,wasmtime,57,0,recorded,results/raw/evaluation/live_heldout/decision_tree__best_static__c192.csv
kmeans,comet,24,30,True,precision_target_met,1.0,1.0,150000,0,2.4751539491933334,2.3490008,3.5223272383333333,0.0180067731321351,0.005112180644707902,3.6836472263333335,9676.50818275362,230.14214664444347,0.023783594484488153,189.68852,wasmtime,30,0,recorded,results/raw/evaluation/live_heldout/kmeans__comet__c24.csv
kmeans,comet,48,20,True,precision_target_met,1.0,1.0,100000,0,4.79335935889,4.62749075,5.854307917500009,0.05159755643766249,0.008813604812863418,7.108696771500007,9893.569291114694,14.706197077246072,0.001486439993951783,181.5759,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/kmeans__comet__c48.csv
kmeans,comet,96,20,True,precision_target_met,1.0,1.0,100000,0,9.67711893603,9.321598075,9.820438285,0.04230272133954839,0.004307620506526954,34.824717959500006,9614.248036907557,37.61628274964405,0.003912555886351296,180.87315,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/kmeans__comet__c96.csv
kmeans,comet,192,60,False,max_repetitions,1.0,1.0,300000,0,20.081776134173335,19.270897366666667,20.928806005000002,0.5908369175563086,0.02823079909169948,56.909467679666676,9111.17315197123,170.23309072330835,0.018683992487452387,190.16812666666667,wasmtime,60,0,recorded,results/raw/evaluation/live_heldout/kmeans__comet__c192.csv
kmeans,wasmtime_only,24,22,True,precision_target_met,1.0,1.0,110000,0,2.4386230324818183,2.361470181818182,3.5214927340909092,0.0328022046599349,0.009314857969855489,3.620112116363637,9807.121125063179,219.94892173366725,0.02242747070509444,185.32872727272726,wasmtime,22,0,recorded,results/raw/evaluation/live_heldout/kmeans__wasmtime_only__c24.csv
kmeans,wasmtime_only,48,27,True,precision_target_met,1.0,1.0,135000,0,4.8857513629037035,4.72713237037037,6.049438264814824,0.13099475222848983,0.02165403571276872,7.374962463333339,9760.738162144107,232.3648790695963,0.02380607646774058,184.52025185185187,wasmtime,27,0,recorded,results/raw/evaluation/live_heldout/kmeans__wasmtime_only__c48.csv
kmeans,wasmtime_only,96,20,True,precision_target_met,1.0,1.0,100000,0,9.65578131328,9.3066851,9.78826755,0.02084501889695476,0.002129592268547539,34.594364007500005,9637.100744448033,23.95942577622623,0.0024861653324553382,181.12211,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/kmeans__wasmtime_only__c96.csv
kmeans,wasmtime_only,192,20,True,precision_target_met,1.0,1.0,100000,0,19.59839533748,18.746332275,20.440611320000002,0.1832191206337655,0.008963485375532569,58.20152366700001,9244.096449143903,51.22747239003252,0.0055416419194519225,185.39399,wasmtime,20,0,recorded,results/raw/evaluation/live_heldout/kmeans__wasmtime_only__c192.csv
