backend,model,repetition,requests,throughput_rps,e2e_mean_ns,inference_mean_ns,execution_mean_ns,non_execution_e2e_ns,outside_inference_ns,server_non_execution_ns,timestamp_unix
docker,logistic_regression,28,5000,5521.404639210571,174951.989,357.8138,182.568,174769.421,174594.1752,175.2458,1788100345.3725832
docker,logistic_regression,29,5000,5507.966225927044,175369.1674,361.1944,183.4922,175185.6752,175007.973,177.70219999999998,1788100348.432701
docker,logistic_regression,30,5000,5496.016426250438,175725.3076,360.5456,181.6064,175543.7012,175364.762,178.93919999999997,1788100351.5991597
docker,logistic_regression,31,5000,5538.579016629468,174462.611,359.6564,185.5632,174277.0478,174102.9546,174.09320000000002,1788100354.7748702
docker,logistic_regression,32,5000,5494.368205400825,175882.1756,360.0326,184.825,175697.35059999998,175522.14299999998,175.2076,1788100357.87618
docker,logistic_regression,33,5000,5603.946339760645,172336.259,357.4738,183.1142,172153.14479999998,171978.78519999998,174.35959999999997,1788100361.0019183
docker,logistic_regression,34,5000,5524.948605700592,174827.9104,360.3866,185.4232,174642.4872,174467.5238,174.96339999999998,1788100364.1777732
docker,logistic_regression,35,5000,5522.577427140523,174969.2538,359.0588,183.4128,174785.84100000001,174610.195,175.64600000000002,1788100367.360154
docker,logistic_regression,36,5000,5553.420457663639,173904.2474,357.5218,182.9586,173721.28879999998,173546.7256,174.5632,1788100370.5244484
docker,logistic_regression,37,5000,5051.10843811761,191829.9994,359.4234,184.4172,191645.5822,191470.576,175.0062,1788100373.7987227
docker,logistic_regression,38,5000,5489.288999452551,176061.208,366.5594,190.669,175870.53900000002,175694.64860000001,175.89039999999997,1788100377.0323434
docker,logistic_regression,39,5000,5569.270591996166,173458.2708,371.6932,196.8346,173261.4362,173086.5776,174.8586,1788100380.187326
docker,logistic_regression,40,5000,5531.388537401423,174735.3024,360.7264,184.2708,174551.0316,174374.57599999997,176.4556,1788100383.3439121
docker,logistic_regression,41,5000,5585.953556975027,172821.869,357.8138,182.4582,172639.4108,172464.0552,175.3556,1788100386.5271752
docker,logistic_regression,42,5000,5058.679370217339,191590.0292,359.6718,183.6598,191406.3694,191230.35739999998,176.01200000000003,1788100389.8006625
docker,logistic_regression,43,5000,5612.900911171739,172088.2888,354.9426,181.089,171907.1998,171733.3462,173.85360000000003,1788100392.8883343
